### eo -> fr ###
Filipo	(Filip·o)	Philippe
afiŝo	(afiŝ·o)	placard (affiche), affiche
aperi	(aper·i)	paraître, paraître (pour un imprimé), surgir
bela	(bel·a)	beau
breto	(bret·o)	rayon, planche, rayon de rangement, étagère
bruo	(bru·o ← bru·i)	bruit
du	(du)	deux
en	(en)	dans, en
esti	(est·i)	être
gitaro	(gitar·o)	guitare
granda	(grand·a)	grand, grande
jaro	(jar·o)	année, an
kaj	(kaj)	et puis, et
kio	(kio)	que, quoi
komputilo	(komput·il·o ← komput·i)	ordinateur, compteur
koncerto	(koncert·o)	concert
kuŝi	(kuŝ·i)	être couché
la	(la)	le, la, les, l’
libro	(libr·o)	livre
lito	(lit·o)	lit
loĝejo	(loĝ·ej·o ← loĝ·i)	gîte, logis, demeure, domicile, habitation
lumo	(lum·o)	lumière
malgranda	(mal·grand·a ← grand·a)	petit
mil	(mil)	mille
moderna	(modern·a)	moderne
muro	(mur·o)	mur
naŭcent	(naŭ·cent ← cent)	neuf cents
ne	(ne)	non, ne, pas, ne … pas
okazi	(okaz·i)	intervenir, avoir lieu, intervenir (avoir lieu)
okdek	(ok·dek ← ok)	quatre-vingts
pri	(pri)	sur, à propos de, au sujet de
pura	(pur·a)	propre, pur
sed	(sed)	mais
seĝo	(seĝ·o)	chaise, siège
sidi	(sid·i)	siéger, siéger (société), être assis
stranga	(strang·a)	drôle, singulier (bizarre), bizarre, étrange
studenta	(student·a ← student·o)	étudiant
sur	(sur)	sur, dessus, à
tablo	(tabl·o)	table
tio	(tio)	c', ça, cela
tre	(tre)	bien, fort, tout, très
vesto	(vest·o ← vest·i)	vêtement; costume, robe, habit
ĉambro	(ĉambr·o)	local (pièce), salle, chambre, pièce
ĝi	(ĝi)	il, elle, ça
ŝranko	(ŝrank·o)	armoire
